Id,OwnerId,Name,Effective_From__c,Loan_Number__c,Loan_Id_Ext__c,Tal_migrated__c
a0EFf0000005pQBMAY,005Ff000001F2fFIAS,a0EFf0000005pQB,2016-07-31,a00Ff000003X79IIAS,HOU/DEL/0223/02819,YES
a0EFf0000005pQCMAY,005Ff000001F2fFIAS,a0EFf0000005pQC,2016-07-31,a00Ff000003X79NIAS,HOU/DEL/0223/02824,YES
a0EFf0000005pQDMAY,005Ff000001F2fFIAS,a0EFf0000005pQD,2016-07-31,a00Ff000003X6vDIAS,HOU/DEL/0223/02246,YES
a0EFf0000005pQEMAY,005Ff000001F2fFIAS,a0EFf0000005pQE,2014-12-31,a00Ff000003X6vWIAS,HOU/DEL/0223/02265,YES
a0EFf0000005pQFMAY,005Ff000001F2fFIAS,a0EFf0000005pQF,2016-07-31,a00Ff000003X77eIAC,HOU/DEL/0223/02717,YES
a0EFf0000005pQGMAY,005Ff000001F2fFIAS,a0EFf0000005pQG,2014-12-31,a00Ff000003X77mIAC,HOU/DEL/0223/02725,YES
a0EFf0000005pQHMAY,005Ff000001F2fFIAS,a0EFf0000005pQH,2016-07-31,a00Ff000003X6voIAC,HOU/DEL/0223/02283,YES
a0EFf0000005pQIMAY,005Ff000001F2fFIAS,a0EFf0000005pQI,2016-07-31,a00Ff000003X6w3IAC,HOU/DEL/0223/02298,YES
a0EFf0000005pQJMAY,005Ff000001F2fFIAS,a0EFf0000005pQJ,2016-07-31,a00Ff000003X6vzIAC,HOU/DEL/0223/02294,YES
a0EFf0000005pQKMAY,005Ff000001F2fFIAS,a0EFf0000005pQK,2016-07-31,a00Ff000003X77SIAS,HOU/DEL/0223/02705,YES
a0EFf0000005pQLMAY,005Ff000001F2fFIAS,a0EFf0000005pQL,2016-07-31,a00Ff000003X77VIAS,HOU/DEL/0223/02708,YES
a0EFf0000005pQMMAY,005Ff000001F2fFIAS,a0EFf0000005pQM,2016-07-31,a00Ff000003X6vkIAC,HOU/DEL/0223/02279,YES
a0EFf0000005pQNMAY,005Ff000001F2fFIAS,a0EFf0000005pQN,2016-07-31,a00Ff000003X77WIAS,HOU/DEL/0223/02709,YES
a0EFf0000005pQOMAY,005Ff000001F2fFIAS,a0EFf0000005pQO,2016-07-31,a00Ff000003X6vmIAC,HOU/DEL/0223/02281,YES
a0EFf0000005pQPMAY,005Ff000001F2fFIAS,a0EFf0000005pQP,2016-07-31,a00Ff000003X6vyIAC,HOU/DEL/0223/02293,YES
a0EFf0000005pQQMAY,005Ff000001F2fFIAS,a0EFf0000005pQQ,2016-07-31,a00Ff000003X6w0IAC,HOU/DEL/0223/02295,YES
a0EFf0000005pQRMAY,005Ff000001F2fFIAS,a0EFf0000005pQR,2016-07-31,a00Ff000003X6viIAC,HOU/DEL/0223/02277,YES
a0EFf0000005pQSMAY,005Ff000001F2fFIAS,a0EFf0000005pQS,2016-07-31,a00Ff000003X77kIAC,HOU/DEL/0223/02723,YES
a0EFf0000005pQTMAY,005Ff000001F2fFIAS,a0EFf0000005pQT,2016-07-31,a00Ff000003X77ZIAS,HOU/DEL/0223/02712,YES
a0EFf0000005pQUMAY,005Ff000001F2fFIAS,a0EFf0000005pQU,2016-07-31,a00Ff000003X77aIAC,HOU/DEL/0223/02713,YES
a0EFf0000005pQVMAY,005Ff000001F2fFIAS,a0EFf0000005pQV,2016-07-31,a00Ff000003X78pIAC,HOU/DEL/0223/02790,YES
a0EFf0000005pQWMAY,005Ff000001F2fFIAS,a0EFf0000005pQW,2016-07-31,a00Ff000003QPKrIAO,HOU/DEL/0223/00602,YES
a0EFf0000005pQXMAY,005Ff000001F2fFIAS,a0EFf0000005pQX,2016-07-31,a00Ff000003QSOoIAO,HOU/DEL/0223/00052,YES
a0EFf0000005pQYMAY,005Ff000001F2fFIAS,a0EFf0000005pQY,2018-03-31,a00Ff000003X77gIAC,HOU/DEL/0223/02719,YES
a0EFf0000005pQZMAY,005Ff000001F2fFIAS,a0EFf0000005pQZ,2018-03-31,a00Ff000003X77fIAC,HOU/DEL/0223/02718,YES
a0EFf0000005pQaMAI,005Ff000001F2fFIAS,a0EFf0000005pQa,2018-03-31,a00Ff000003X79BIAS,HOU/DEL/0223/02812,YES
a0EFf0000005pQbMAI,005Ff000001F2fFIAS,a0EFf0000005pQb,2016-07-31,a00Ff000003X77YIAS,HOU/DEL/0223/02711,YES
a0EFf0000005pQcMAI,005Ff000001F2fFIAS,a0EFf0000005pQc,2016-07-31,a00Ff000003X77jIAC,HOU/DEL/0223/02722,YES
a0EFf0000005pQdMAI,005Ff000001F2fFIAS,a0EFf0000005pQd,2016-07-31,a00Ff000003X77TIAS,HOU/DEL/0223/02706,YES
a0EFf0000005pQeMAI,005Ff000001F2fFIAS,a0EFf0000005pQe,2016-07-31,a00Ff000003X6vnIAC,HOU/DEL/0223/02282,YES
a0EFf0000005pQfMAI,005Ff000001F2fFIAS,a0EFf0000005pQf,2016-07-31,a00Ff000003QSOmIAO,HOU/DEL/0223/00050,YES
a0EFf0000005pQgMAI,005Ff000001F2fFIAS,a0EFf0000005pQg,2016-07-31,a00Ff000003QOtmIAG,HOU/DEL/0223/00169,YES
a0EFf0000005pQhMAI,005Ff000001F2fFIAS,a0EFf0000005pQh,2016-07-31,a00Ff000003X6vYIAS,HOU/DEL/0223/02267,YES
a0EFf0000005pQiMAI,005Ff000001F2fFIAS,a0EFf0000005pQi,2016-07-31,a00Ff000003X79PIAS,HOU/DEL/0223/02826,YES
a0EFf0000005pQjMAI,005Ff000001F2fFIAS,a0EFf0000005pQj,2014-12-31,a00Ff000003X78xIAC,HOU/DEL/0223/02798,YES
a0EFf0000005pQkMAI,005Ff000001F2fFIAS,a0EFf0000005pQk,2016-07-31,a00Ff000003X79QIAS,HOU/DEL/0223/02827,YES
a0EFf0000005pQlMAI,005Ff000001F2fFIAS,a0EFf0000005pQl,2016-07-31,a00Ff000003QPKoIAO,HOU/DEL/0223/00599,YES
a0EFf0000005pQmMAI,005Ff000001F2fFIAS,a0EFf0000005pQm,2016-07-31,a00Ff000003QOtFIAW,HOU/DEL/0223/00136,YES
a0EFf0000005pQnMAI,005Ff000001F2fFIAS,a0EFf0000005pQn,2016-07-31,a00Ff000003X6ubIAC,HOU/DEL/0223/02208,YES
