Id,OwnerId,Name,NPA_Conversion_date__c,Last_Unpaid_Date__c,Loan_Number__c,Loan_Id_Ext__c,Tal_migrated__c
a0HFf0000005H21MAE,005Ff000001F2fFIAS,a0HFf0000005H21,2016-05-31,,a00Ff000003X6SkIAK,HOU/DEL/0223/01283,YES
a0HFf0000005H22MAE,005Ff000001F2fFIAS,a0HFf0000005H22,2018-05-31,2018-01-31,a00Ff000003X6SnIAK,HOU/DEL/0223/01286,YES
a0HFf0000005H23MAE,005Ff000001F2fFIAS,a0HFf0000005H23,2018-07-31,2018-03-31,a00Ff000003X6SnIAK,HOU/DEL/0223/01286,YES
a0HFf0000005H24MAE,005Ff000001F2fFIAS,a0HFf0000005H24,2018-09-30,2018-05-31,a00Ff000003X6SnIAK,HOU/DEL/0223/01286,YES
a0HFf0000005H25MAE,005Ff000001F2fFIAS,a0HFf0000005H25,2021-03-31,2020-01-15,a00Ff000003X6SnIAK,HOU/DEL/0223/01286,YES
a0HFf0000005H26MAE,005Ff000001F2fFIAS,a0HFf0000005H26,2021-08-31,2021-05-15,a00Ff000003X6SyIAK,HOU/DEL/0223/01297,YES
a0HFf0000005H27MAE,005Ff000001F2fFIAS,a0HFf0000005H27,2022-03-31,2022-04-15,a00Ff000003X6SyIAK,HOU/DEL/0223/01297,YES
a0HFf0000005H28MAE,005Ff000001F2fFIAS,a0HFf0000005H28,2017-06-30,2017-02-28,a00Ff000003X6tfIAC,HOU/DEL/0223/02150,YES
a0HFf0000005H29MAE,005Ff000001F2fFIAS,a0HFf0000005H29,2017-05-31,2017-01-31,a00Ff000003X6tWIAS,HOU/DEL/0223/02141,YES
a0HFf0000005H2AMAU,005Ff000001F2fFIAS,a0HFf0000005H2A,2018-01-31,2017-09-30,a00Ff000003X6tWIAS,HOU/DEL/0223/02141,YES
a0HFf0000005H3RMAU,005Ff000001F2fFIAS,a0HFf0000005H3R,2021-03-31,2020-11-10,a00Ff000003X6uHIAS,HOU/DEL/0223/02188,YES
a0HFf0000005H3SMAU,005Ff000001F2fFIAS,a0HFf0000005H3S,2017-06-30,2017-02-28,a00Ff000003X6ScIAK,HOU/DEL/0223/01275,YES
a0HFf0000005H3TMAU,005Ff000001F2fFIAS,a0HFf0000005H3T,2018-04-30,2017-12-31,a00Ff000003X6SiIAK,HOU/DEL/0223/01281,YES
a0HFf0000005H3UMAU,005Ff000001F2fFIAS,a0HFf0000005H3U,2022-05-17,2022-02-15,a00Ff000003X6StIAK,HOU/DEL/0223/01292,YES
a0HFf0000005H3VMAU,005Ff000001F2fFIAS,a0HFf0000005H3V,2019-04-30,2018-12-31,a00Ff000003X6vNIAS,HOU/DEL/0223/02256,YES
a0HFf0000005H3WMAU,005Ff000001F2fFIAS,a0HFf0000005H3W,2011-01-31,,a00Ff000003X78HIAS,HOU/DEL/0223/02756,YES
a0HFf0000005H3XMAU,005Ff000001F2fFIAS,a0HFf0000005H3X,2019-09-30,2019-05-31,a00Ff000003X78JIAS,HOU/DEL/0223/02758,YES
a0HFf0000005H3YMAU,005Ff000001F2fFIAS,a0HFf0000005H3Y,2019-11-30,2019-07-31,a00Ff000003X78JIAS,HOU/DEL/0223/02758,YES
a0HFf0000005H3ZMAU,005Ff000001F2fFIAS,a0HFf0000005H3Z,2021-03-31,2020-10-10,a00Ff000003X78JIAS,HOU/DEL/0223/02758,YES
a0HFf0000005H3aMAE,005Ff000001F2fFIAS,a0HFf0000005H3a,2017-11-30,2017-07-31,a00Ff000003X77aIAC,HOU/DEL/0223/02713,YES
a0HFf0000005H3bMAE,005Ff000001F2fFIAS,a0HFf0000005H3b,2017-02-28,,a00Ff000003X79kIAC,HOU/DEL/0223/02847,YES
a0HFf0000005H3cMAE,005Ff000001F2fFIAS,a0HFf0000005H3c,2017-04-30,2017-01-10,a00Ff000003X79kIAC,HOU/DEL/0223/02847,YES
a0HFf0000005H3dMAE,005Ff000001F2fFIAS,a0HFf0000005H3d,2019-04-30,2019-01-10,a00Ff000003X79YIAS,HOU/DEL/0223/02835,YES
a0HFf0000005H3eMAE,005Ff000001F2fFIAS,a0HFf0000005H3e,2018-04-30,2018-01-10,a00Ff000003X7BlIAK,HOU/DEL/0223/02972,YES
a0HFf0000005H3fMAE,005Ff000001F2fFIAS,a0HFf0000005H3f,2021-03-31,2020-10-10,a00Ff000003X7ABIA0,HOU/DEL/0223/02874,YES
a0HFf0000005H3gMAE,005Ff000001F2fFIAS,a0HFf0000005H3g,2021-08-31,2021-05-10,a00Ff000003X7A7IAK,HOU/DEL/0223/02870,YES
a0HFf0000005H3hMAE,005Ff000001F2fFIAS,a0HFf0000005H3h,2021-03-31,2020-09-10,a00Ff000003X7B4IAK,HOU/DEL/0223/02929,YES
a0HFf0000005H3iMAE,005Ff000001F2fFIAS,a0HFf0000005H3i,2021-03-31,2020-10-10,a00Ff000003X7CDIA0,HOU/DEL/0223/03000,YES
a0HFf0000005H3jMAE,005Ff000001F2fFIAS,a0HFf0000005H3j,2021-12-31,2021-10-10,a00Ff000003X7CkIAK,HOU/DEL/0223/03033,YES
a0HFf0000005H3kMAE,005Ff000001F2fFIAS,a0HFf0000005H3k,2021-04-30,2021-01-10,a00Ff000003X7BIIA0,HOU/DEL/0223/02943,YES
a0HFf0000005H3lMAE,005Ff000001F2fFIAS,a0HFf0000005H3l,2018-04-30,2018-01-10,a00Ff000003X75qIAC,HOU/DEL/0223/03104,YES
a0HFf0000005H3mMAE,005Ff000001F2fFIAS,a0HFf0000005H3m,2021-07-31,2021-04-10,a00Ff000003X7CtIAK,HOU/DEL/0223/03042,YES
a0HFf0000005H3nMAE,005Ff000001F2fFIAS,a0HFf0000005H3n,2021-03-31,2020-09-10,a00Ff000003X7D7IAK,HOU/DEL/0223/03056,YES
a0HFf0000005H3oMAE,005Ff000001F2fFIAS,a0HFf0000005H3o,2017-08-31,2017-05-10,a00Ff000003X7D3IAK,HOU/DEL/0223/03052,YES
a0HFf0000005H3pMAE,005Ff000001F2fFIAS,a0HFf0000005H3p,2021-08-31,2021-05-10,a00Ff000003X7D6IAK,HOU/DEL/0223/03055,YES
a0HFf0000005H3qMAE,005Ff000001F2fFIAS,a0HFf0000005H3q,2021-04-30,2021-01-10,a00Ff000003X7D6IAK,HOU/DEL/0223/03055,YES
a0HFf0000005H3rMAE,005Ff000001F2fFIAS,a0HFf0000005H3r,2021-10-31,2021-07-10,a00Ff000003X7D6IAK,HOU/DEL/0223/03055,YES
a0HFf0000005H3sMAE,005Ff000001F2fFIAS,a0HFf0000005H3s,2021-12-31,2021-10-10,a00Ff000003X7D6IAK,HOU/DEL/0223/03055,YES
a0HFf0000005H3tMAE,005Ff000001F2fFIAS,a0HFf0000005H3t,2023-04-26,2022-11-05,a00Ff000003X7EiIAK,HOU/DEL/0223/03254,YES
a0HFf0000005H3uMAE,005Ff000001F2fFIAS,a0HFf0000005H3u,2023-02-03,2022-11-05,a00Ff000003X7EiIAK,HOU/DEL/0223/03254,YES
